Year,Category,Economic sectors,Source,Type,Fuel type,Gas,MMTCO2e
2003,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.195614228241311
2003,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000140175185879
2003,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.015209599120128
2003,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000093082563794
2003,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.173377787585833
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.239484517675601
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.772121023388430
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.814767210286082
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.001182255858721
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.006170661779708
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000422184978516
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000057722
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000642966867
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0030808855
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00037394375
2003,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00003490025
2003,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.186509183405608
2003,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.039202511809141
2003,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.216644584464339
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.712037271729634
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.592225037436633
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001896642
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0003117267
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.001170932
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00214565274
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00111450675
2003,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00594637638
2003,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.006977246968045
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.329329260935559
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.464111915134267
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000855972
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002442924
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00020615
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00096835284
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000873411
2003,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00104689725
2003,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.045827043554399
2003,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.049105863926103
2003,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.163343151129494
2003,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.041612228245887
2003,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.334661201576078
2003,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000105678718423
2003,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000148368980471
2003,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000227741147298
2003,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.023506524175524
2003,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.05476756746825
2003,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.061069994776292
2003,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.212217962129741
2003,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0
2003,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,-1.025678526752800
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,4.688604653685870
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.4838170743076
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.715037658195667
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.022567689
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0011543328
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0003618018
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001262175
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.000485814
2004,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0003203875
2004,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.037116177540317
2004,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,3.804167212158620
2004,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.014896652592869
2004,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.001719801832093
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.941049159611480
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.006
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.180956864228922
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000173117491076
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.014176905491971
2004,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000124458726852
2004,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.181158665529141
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.288718702424515
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.513956167528430
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.861592589723512
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00142544998663
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.005634732149013
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000447629605712
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000061256
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000775144194
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00289403975
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0003942975
2004,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.000037037
2004,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.195914995903691
2004,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.040961848825176
2004,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.215409223148856
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.647090935943018
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.5710230312633
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001720128
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0003005667
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.001200382
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00194596416
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00107460675
2004,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00609593313
2004,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00729037304835
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.321131610921973
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.4648009803349
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000852438
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002446551
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000201438
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00096435486
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00087470775
2004,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00102296817
2004,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.047883677436769
2004,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.053357062987415
2004,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.154255911817345
2004,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.039459448185565
2004,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.370547855433488
2004,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0
2004,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0
2004,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000275593093229
2004,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.024061448517964
2004,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.05553568095075
2004,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.06046626406891
2004,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.349862642085194
2004,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0
2004,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,-1.039209623263750
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,4.980023066411250
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.6043695392548
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.7077759710813
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.023970375
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0014418432
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00035812746
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001340625
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.000606816
2005,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00031713375
2005,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.035057287841887
2005,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,3.896329825230730
2005,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.015257550090907
2005,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.001761467043418
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,5.150914369204390
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.003
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.165967042553059
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000186024873908
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.013699464557113
2005,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000136011609793
2005,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.190425983233572
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.288401004133
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.824971079877520
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.820903721041675
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.001423413605061
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.006381808521108
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000426218489943
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000061256
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.0007742955
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00323191225
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000375725
2005,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.000037037
2005,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.174282232986424
2005,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.043057285252217
2005,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.215170883373351
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.625327370209515
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.568266770460767
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001665816
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002991159
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.00069502
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00188452152
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00106941975
2005,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.0035295393
2005,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.007663317963933
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.266701351161387
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.460772599161967
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000703452
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002425347
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00011191
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00079580844
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00086712675
2005,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00056831565
2005,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.050333205591367
2005,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.049918538438078
2005,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.143297840782284
2005,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.038191910259331
2005,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.304083650866125
2005,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000067010736064
2005,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000120655648293
2005,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000388289455381
2005,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.024664283394938
2005,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.056399102384625
2005,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.06531636914768
2005,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.33963939203889
2005,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0
2005,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,-1.051946644604830
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,5.00751186506221
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.0893973908586
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.523265512357867
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.024102687
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0002142024
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00026476704
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.001348025
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0000901495
2006,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00023446
2006,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.029323582163279
2006,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,4.042180908645630
2006,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.016479438124799
2006,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.001614866965021
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,5.168307812372510
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.001
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.145048148701734
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000187484247678
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.012321074362454
2006,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000142107679986
2006,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.200422435446251
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.251359529322
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.506969244857760
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.884538951222029
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00124028749212
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.005734556070429
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000460131158398
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000028272
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000674847
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.002928429
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0004038925
2006,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.000017094
2006,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.189758777422442
2006,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.043806618911565
2006,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.221041303313081
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.0000989234431
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.489790768357458
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.500844390829567
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.000000465
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.001307394
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002636271
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.000616094
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.00000631449
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00147904218
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00094253775
2006,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00312872721
2006,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.010081495025784
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.0008903109879
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.276985702339138
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.4471503101956
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.000004185
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000726702
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0002353644
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000103664
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00000189378
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00082211094
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000841491
2006,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00052643976
2006,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.05761641744595
2006,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.048445261793169
2006,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.139713968886486
2006,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.036642034918418
2006,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.315381534263016
2006,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.000083773076507
2006,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.000266337507622
2006,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.000374717832411
2006,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.025207228317044
2006,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.05737457960325
2006,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.073091448206619
2006,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.321818151996998
2006,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0
2006,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,-0.93107983038783
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CO2,5.674951040415080
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.149301124640433
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.7406920856654
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,N2O,0.027315276
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000356706
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00037478268
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Coal,CH4,0.0015277
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00015012375
2007,Estimate,Electric power,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0003318825
2007,Estimate,Electric power,Transmission and Distribution,Non-Energy,N/A,SF6,0.026001057391738
2007,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,2.917320545755620
2007,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.012418999323799
2007,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.000993862064157
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,5.179049159611480
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.001
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.129443180375803
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000173275020194
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.011795334640421
2007,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.000133872514337
2007,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.210319621220335
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.253115033978345
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.471325055677660
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.864858449037555
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00124831522385
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.005648033130144
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000450229900295
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00002945
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.000679558905
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.002769802
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00039460625
2007,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00001780625
2007,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.185081563923082
